Hobo_ID,Tank,Date_pulled
10550960,1,2/23/20
10568876,2,2/25/20
10551954,4,2/25/20
10551953,5,2/6/20
10551961,7,2/25/20
10550958,9,2/25/20
10551956,11,2/25/20
10550960,13,2/25/20
10550963,14,2/25/20
10550962,16,2/25/20
10550956,18,2/25/20
10550969,19,2/25/20
10551958,20,2/12/20
10550964,21,2/25/20
